qId;qTxt;ansId;ansTxt;quExplain;ansExplain
3;Quelle pratique identifie les métriques qui reflètent l'expérience d'un service pour le client ?;C;La gestion des niveaux de service;;« La gestion des niveaux de service identifie les métriques et les mesures qui reflètent fidèlement l'expérience et le niveau de satisfaction réels du client par rapport à l'ensemble du service. », et « L'implication est nécessaire pour comprendre et confirmer les besoins et les exigences continus des clients, et non pas seulement ce qui est interprété par le fournisseur de services ou ce qui a été convenu il y a plusieurs années. » Réf. 5.2.15.1
3;Quelle pratique identifie les métriques qui reflètent l'expérience d'un service pour le client ?;D;La gestion des problèmes;;« Le but de la pratique de gestion des problèmes est de réduire la probabilité et l'impact des incidents en identifiant leurs causes réelles ou potentielles et en gérant les solutions de contournement et les erreurs connues. » Réf. 5.2.8
4;Quelle est l'utilisation PRINCIPALE d'un calendrier des changements ?;A;"Pour supporter la ""gestion des incidents"" et la planification d'améliorations";;Bien qu'il puisse être utilisé après le déploiement d'un changement, ce n'est pas la principale utilisation du calendrier des changements. « Le calendrier des changements est utilisé pour aider à planifier les changements, soutenir la communication, éviter les conflits et assigner les ressources. Il peut également être utilisé après le déploiement des changements afin de fournir les informations nécessaires à la gestion des incidents, à la gestion des problèmes et à la planification des améliorations. » Réf. 5.2.4
4;Quelle est l'utilisation PRINCIPALE d'un calendrier des changements ?;B;Pour gérer les changements urgents;;« Changements urgents : il s'agit des changements qui doivent être implémentés le plus tôt possible, par exemple, pour résoudre un incident ou implémenter un correctif de sécurité. Les changements urgents ne sont généralement pas inclus dans un calendrier des changements et les processus d'évaluation et d'autorisation sont accélérés pour s'assurer qu'ils soient implémentés rapidement. » Réf. 5.2.4
4;Quelle est l'utilisation PRINCIPALE d'un calendrier des changements ?;C;Pour planifier les changements et éviter les conflits;;« Le calendrier des changements est utilisé pour aider à planifier les changements, soutenir la communication, éviter les conflits et assigner les ressources. » Réf. 5.2.4
4;Quelle est l'utilisation PRINCIPALE d'un calendrier des changements ?;D;Pour gérer les changements standard;;Les changements standard sont déjà pré-autorisés et n'ont pas besoin d'être inclus dans un calendrier des changements. « Il s'agit de changements pré-autorisés, à faible risque, qui sont bien compris et intégralement documentés, et qui peuvent être implémentés sans nécessiter d'autorisation supplémentaire. » Réf. 5.2.4
5;Quelle dimension de la gestion des services est axée sur les activités et la façon dont elles sont coordonnées ?;A;Organisations et personnes;;"La dimension ""organisations et personnes"" décrit « les rôles et responsabilités, les structures organisationnelles formelles, la culture, ainsi que les compétences et le personnel requis. » Réf. 3.1"
5;Quelle dimension de la gestion des services est axée sur les activités et la façon dont elles sont coordonnées ?;B;Information et technologie;;"La dimension ""information et technologie"" comprend « les informations et les connaissances nécessaires à la gestion des services, ainsi que les technologies requises », et « les informations créées, gérées et utilisées dans le cadre de la fourniture et de la consommation de services, ainsi que les technologies qui supportent et rendent possible ce service. » Réf. 3.2"
5;Quelle dimension de la gestion des services est axée sur les activités et la façon dont elles sont coordonnées ?;C;Partenaires et fournisseurs;;« La dimension « partenaires et fournisseurs » englobe les relations d'une organisation avec d'autres organisations impliquées dans la conception, le développement, le déploiement, la fourniture, le support et/ou l'amélioration continue des services. Elle intègre également les contrats et autres accords qui existent entre l'organisation et ses partenaires ou fournisseurs. » Réf. 3.3
5;Quelle dimension de la gestion des services est axée sur les activités et la façon dont elles sont coordonnées ?;D;Flux de valeur et processus;;"La dimension ""flux de valeur et processus"" est « axée sur les activités que l'organisation entreprend et sur la façon dont elles sont organisées, mais aussi sur la façon dont l'organisation favorise la création de valeur pour toutes les parties prenantes de manière efficace et efficiente. » Réf. 3.4"
6;"De quelle façon la catégorisation des incidents assiste-t-elle la pratique de ""gestion des incidents"" ?";A;Elle permet de diriger l'incident vers la zone de support appropriée;;« Les incidents plus complexes sont généralement escaladés à une équipe de support pour une résolution. Généralement, l'acheminement dépend de la catégorie de l'incident, laquelle devrait permettre d'identifier l'équipe appropriée. » Réf. 5.2.5
6;"De quelle façon la catégorisation des incidents assiste-t-elle la pratique de ""gestion des incidents"" ?";B;Elle détermine la priorité assignée à l'incident;;La catégorie concerne le type d'incident tandis que la priorité est déterminée par l'impact business. « Les incidents sont priorisés selon une classification convenue qui permet de s'assurer que les incidents ayant le plus d'impact business sont résolus en premier. » Réf. 5.2.5
6;"De quelle façon la catégorisation des incidents assiste-t-elle la pratique de ""gestion des incidents"" ?";C;Elle s'assure que les incidents sont résolus dans les délais convenus avec le client;;« Chaque incident doit être enregistré et géré afin de veiller à ce qu'il soit résolu dans un délai conforme aux attentes du client et de l'utilisateur. » La catégorisation elle-même ne permet pas de s'en assurer. Réf. 5.2.5
6;"De quelle façon la catégorisation des incidents assiste-t-elle la pratique de ""gestion des incidents"" ?";D;Elle détermine la façon dont le fournisseur de services est perçu;;La satisfaction du client et de l'utilisateur détermine comment le fournisseur de services est perçu. « La gestion des incidents peut avoir un impact considérable sur la satisfaction du client et de l'utilisateur, et sur la façon dont les utilisateurs perçoivent le fournisseur de services. » Réf. 5.2.5
7;Identifiez le ou les mots manquants dans la phrase suivante : Un service est un moyen qui permet la co-création de valeur en facilitant [?] que les clients veulent atteindre;A;la garantie;;La garantie est l’ « assurance qu'un produit ou un service répondra aux exigences convenues. » La garantie d'un service est nécessaire mais n'est pas suffisante pour permettre la co-création de valeur. Réf. 2.5.4
7;Identifiez le ou les mots manquants dans la phrase suivante : Un service est un moyen qui permet la co-création de valeur en facilitant [?] que les clients veulent atteindre;B;les résultats;;Un service est un « moyen de permettre la co-création de valeur en facilitant des résultats que les clients veulent atteindre, sans qu'ils n'aient à gérer les coûts et les risques spécifiques. » Réf. 2.3.1
7;Identifiez le ou les mots manquants dans la phrase suivante : Un service est un moyen qui permet la co-création de valeur en facilitant [?] que les clients veulent atteindre;C;l'utilité;;L'utilité est « la fonctionnalité offerte par un produit ou un service ». L'utilité d'un service est nécessaire mais n'est pas suffisante pour permettre la co- création de valeur. Réf. 2.5.4
7;Identifiez le ou les mots manquants dans la phrase suivante : Un service est un moyen qui permet la co-création de valeur en facilitant [?] que les clients veulent atteindre;D;les livrables;;Un livrable est un « élément livrable d’une activité, qu’il soit tangible ou intangible. » Le livrable d’un service est nécessaire mais n'est pas suffisant pour permettre la co-création de valeur. Réf. 2.5.1
8;"Laquelle des options suivantes est une recommandation de la pratique d'""amélioration continue"" ?";A;"Il devrait y avoir au moins une petite équipe qui se consacre à la conduite des efforts d'""amélioration continue""";;« Chacun devrait contribuer d'une manière ou d'une autre, mais il devrait y avoir au moins une petite équipe dédiée à temps plein à la conduite d'efforts d'amélioration continue et à la promotion de la pratique à travers l'organisation. » Réf. 5.1.2
8;"Laquelle des options suivantes est une recommandation de la pratique d'""amélioration continue"" ?";B;Toutes les améliorations doivent être gérées comme des projets à phases multiples;;« Différents types d’améliorations peuvent nécessiter différentes méthodes d’amélioration. Par exemple, certaines améliorations peuvent être mieux organisées en un projet à phases multiples, tandis que d'autres se prêtent mieux à seul effort rapide. » Réf. 5.1.2
8;"Laquelle des options suivantes est une recommandation de la pratique d'""amélioration continue"" ?";C;"L'""amélioration continue"" doit être isolée des autres pratiques";;« La pratique d'amélioration continue fait partie intégrante du développement et de la maintenance de toutes les autres pratiques. » Réf. 5.1.2
8;"Laquelle des options suivantes est une recommandation de la pratique d'""amélioration continue"" ?";D;Les fournisseurs externes doivent être exclus des initiatives d'amélioration;;« Lorsque des fournisseurs tiers font partie du paysage des services, ils doivent également faire partie de l'effort d'amélioration. » Réf. 5.1.2
9;"Laquelle des options suivantes est un bénéfice potentiel de l'utilisation d'un outil de gestion des services informatiques pour supporter la pratique de ""gestion des incidents"" ?";A;Il peut s'assurer que la cause des incidents est identifiée dans les délais convenus;;"« Les délais cibles de résolution sont convenus, documentés et communiqués afin de s'assurer que les attentes sont réalistes. » Un bon outil de gestion des services informatiques peut aider l'organisation à respecter ces délais, mais l'outil ne peut pas assurer que ce sera le cas. De plus, l'identification des causes des incidents est une activité de la ""gestion des problèmes"" Réf. 5.2.5"
9;"Laquelle des options suivantes est un bénéfice potentiel de l'utilisation d'un outil de gestion des services informatiques pour supporter la pratique de ""gestion des incidents"" ?";B;Il peut fournir un appariement automatisé des incidents aux problèmes ou aux erreurs connues;;« Les outils modernes de la gestion des services informatiques peuvent fournir une correspondance automatisée des incidents avec d'autres incidents, problèmes ou erreurs connues. » Réf. 5.2.5
9;"Laquelle des options suivantes est un bénéfice potentiel de l'utilisation d'un outil de gestion des services informatiques pour supporter la pratique de ""gestion des incidents"" ?";C;Il peut s'assurer que les contrats des fournisseurs sont alignés sur les besoins du fournisseur de services;;"La ""gestion des incidents"" exige un alignement approprié des contrats du fournisseur, mais s'assurer de l'alignement des contrats est un but de la pratique de ""gestion des fournisseurs"". Réf. 5.1.13"
9;"Laquelle des options suivantes est un bénéfice potentiel de l'utilisation d'un outil de gestion des services informatiques pour supporter la pratique de ""gestion des incidents"" ?";D;Il peut permettre la résolution et la clôture automatisées d'incidents complexes;;« Les incidents les plus complexes et tous les incidents majeurs nécessitent souvent la collaboration d'une équipe temporaire en vue d'identifier une résolution. » « Les investigations sur des incidents plus complexes nécessitent souvent des connaissances et une expertise plutôt que des étapes de procédures. » Réf. 5.2.5
10;Quel rôle soumet des demandes de service ?;A;L'utilisateur ou son représentant autorisé;;« Le but de la pratique de gestion des demandes de service est de soutenir la qualité convenue d'un service en gérant l'ensemble des demandes de service prédéfinies et initiées par l'utilisateur … » et une demande de service est définie comme « la demande d'un utilisateur ou du représentant autorisé d'un utilisateur qui déclenche une action de service. » Réf. 5.2.16
10;Quel rôle soumet des demandes de service ?;B;Le client ou son représentant autorisé;;Un client est « le rôle qui définit les exigences relatives à un service et qui assume la responsabilité des résultats de la consommation du service. » Un client peut également être un utilisateur et, à ce titre, soumettre une demande de service. Réf. 2.2.2
10;Quel rôle soumet des demandes de service ?;C;Le sponsor ou son représentant autorisé;;Un sponsor est « le rôle qui autorise le budget pour la consommation d'un service. » Un sponsor peut également être un utilisateur et, à ce titre, soumettre une demande de service. Réf. 2.2.2
10;Quel rôle soumet des demandes de service ?;D;Le fournisseur ou son représentant autorisé;;« La dimension « partenaires et fournisseurs » englobe les relations d'une organisation avec d'autres organisations impliquées dans la conception, le développement, le déploiement, la fourniture, le support et/ou l'amélioration continue des services. » Cela n'inclut pas la consommation des services, et « Le but de la pratique de gestion des demandes de services est de soutenir la qualité convenue d'un service en gérant l'ensemble des demandes de services prédéfinies et initiées par l'utilisateur. » Réf. 3.3, 5.2.16
11;Quelle pratique propose un point de contact unique pour les utilisateurs ?;A;La gestion des incidents;;"« Le but de la pratique de gestion des incidents est de réduire l'impact négatif des incidents, en restaurant l’exploitation normale des services aussi rapidement que possible. » La pratique de ""gestion des incidents"" ne fournit pas de point de contact unique aux utilisateurs du service. Réf. 5.2.5"
11;Quelle pratique propose un point de contact unique pour les utilisateurs ?;B;L'habilitation des changements;;"« Le but de la pratique d'habilitation des changements est de maximiser le nombre de changements apportés avec succès aux services et aux produits, en s'assurant que les risques ont été correctement évalués, en autorisant les changements et en gérant le calendrier des changements. » La pratique d’""habilitation des changements"" ne fournit pas de point de contact unique aux utilisateurs du service. Réf. 5.2.4"
11;Quelle pratique propose un point de contact unique pour les utilisateurs ?;C;Le centre de services;;« Le but de la pratique du centre de services est de capturer la demande de résolution des incidents et les demandes de service. Elle doit également être le point d'entrée et le point de contact unique pour le fournisseur de services avec tous ses utilisateurs. » Réf. 5.2.14
11;Quelle pratique propose un point de contact unique pour les utilisateurs ?;D;La gestion des demandes de service;;"« Le but de la pratique de gestion des demandes de service est de supporter la qualité convenue d'un service en gérant l'ensemble des demandes de service prédéfinies et initiées par l'utilisateur et ce, de manière conviviale et efficace. » La pratique de ""gestion des demandes de services"" ne fournit pas de point de contact unique aux utilisateurs du service. Réf. 5.2.16"
12;Quel principe directeur recommande de prendre en considération les quatre dimensions de la gestion des services ?;A;Penser et travailler de façon holistique;;"Le principe directeur ""penser et travailler de façon holistique"" recommande de tenir compte de tous les aspects d'une organisation lorsqu'il s'agit de fournir de la valeur sous forme de services. Cela inclut les quatre dimensions de la gestion des services (organisations et personnes, information et technologie, partenaires et fournisseurs, flux de valeur et processus). « Les services sont fournis aux consommateurs de services internes et externes grâce à la coordination et l'intégration des quatre dimensions de la gestion des services. » Réf. 4.3.5"
12;Quel principe directeur recommande de prendre en considération les quatre dimensions de la gestion des services ?;B;Progresser par itérations avec des retours;;"Le principe directeur ""avancer par itérations avec des retours"" vise à diviser les initiatives en parties gérables pouvant être exécutées plus facilement. Il ne s'intéresse pas principalement aux quatre dimensions de la gestion des services. Réf. 4.3.3"
12;Quel principe directeur recommande de prendre en considération les quatre dimensions de la gestion des services ?;C;Privilégier la valeur;;"Le principe directeur ""privilégier la valeur"" s'assure que tout ce qu'entreprend l'organisation revient à offrir de la valeur aux consommateurs des services. Il ne s'intéresse pas principalement aux quatre dimensions de la gestion des services. Réf. 4.3.1"
12;Quel principe directeur recommande de prendre en considération les quatre dimensions de la gestion des services ?;D;Opter pour la simplicité et rester pratique;;"Le principe directeur ""opter pour la simplicité et rester pratique"" consiste à simplifier les choses en réduisant la complexité et en éliminant toute étape ou activité inutile. Il ne s'intéresse pas principalement aux quatre dimensions de la gestion des services. Réf. 4.3.6"
13;"Laquelle des options suivantes est supportée par la pratique de ""gestion des demandes de service"" ?";A;Une demande d'autorisation d'un changement qui pourrait avoir un impact sur un service;;"Celle-ci serait supportée par la pratique d’”habilitation des changements"". Un changement correspond à « l'ajout, la modification ou la suppression de tout ce qui pourrait avoir un effet direct ou indirect sur les services ». Les changements normaux « doivent être planifiés, évalués et autorisés ». Réf. 5.2.4"
13;"Laquelle des options suivantes est supportée par la pratique de ""gestion des demandes de service"" ?";B;Une demande d'un utilisateur concernant quelque chose qui fait partie intégrante de la fourniture normale des services;;Une demande de service est « une demande d'un utilisateur ou d’un représentant autorisé d'un utilisateur qui déclenche une action de service convenue dans le cadre de la fourniture normale des services. » Réf. 5.2.16
13;"Laquelle des options suivantes est supportée par la pratique de ""gestion des demandes de service"" ?";C;Une demande de restauration du service après une interruption de service;;"Celle-ci serait supportée par la pratique de ""gestion des incidents"". Un incident correspond à « l'interruption non planifiée d'un service ou la réduction de la qualité d'un service ». Réf. 5.2.5"
13;"Laquelle des options suivantes est supportée par la pratique de ""gestion des demandes de service"" ?";D;Une demande d'investigation sur la cause de plusieurs incidents connexes;;"Celle-ci serait supportée par la pratique de ""gestion des problèmes"". Un problème est une « cause réelle ou potentielle d'un ou de plusieurs incidents ». Réf. 5.2.8"
14;Quelle pratique relève de la responsabilité de chacun au sein de l'organisation ?;A;La gestion des niveaux de service;;"La pratique de ""gestion des niveaux de service"" ne relève pas de la responsabilité de chacun au sein de l'organisation. Un certain nombre de rôles sont requis mais il n'existe pas de structure fixe. Il est recommandé d'avoir un rôle indépendant et non aligné dans la mesure du possible. Réf. 5.2.15"
14;Quelle pratique relève de la responsabilité de chacun au sein de l'organisation ?;B;L'habilitation des changements;;"La pratique d’”habilitation des changements"" ne relève pas de la responsabilité de chacun au sein de l'organisation. De nombreux rôles tels peuvent être assignés à l’habilitation des changements, par exemple l'autorité de changement. Cette pratique exige la contribution de personnes disposant de connaissances spécialisées. Réf. 5.2.4"
14;Quelle pratique relève de la responsabilité de chacun au sein de l'organisation ?;C;La gestion des problèmes;;"La pratique de ""gestion des problèmes"" ne relève pas de la responsabilité de chacun au sein de l'organisation. La majeure partie de l'activité de gestion des problèmes s'appuie sur les connaissances et l'expérience du personnel. Réf. 5.2.8"
14;Quelle pratique relève de la responsabilité de chacun au sein de l'organisation ?;D;L'amélioration continue;;« L'amélioration continue est la responsabilité de tous » et « L'engagement envers l'amélioration continue et sa pratique doivent être ancrés dans chaque rouage de l'organisation ». Réf. 5.1.2
15;"Identifier le mot manquant dans la phrase suivante : Le but de la pratique de ""gestion de la sécurité de l'information"" est de [?] les informations de l'organisation";A;stocker;« Le but de la pratique de gestion de la sécurité de l'information est de protéger les informations dont l'organisation a besoin pour mener ses activités. Cela inclut la compréhension et la gestion des risques liés à la confidentialité, à l'intégrité et à la disponibilité des informations, ainsi que les autres aspects de la sécurité de l'information tels que l'authentification (s'assurer de l'identité d'une personne) et la non-répudiation (s'assurer que personne ne peut nier avoir effectué une action). » Réf. 5.1.3;
15;"Identifier le mot manquant dans la phrase suivante : Le but de la pratique de ""gestion de la sécurité de l'information"" est de [?] les informations de l'organisation";B;fournir;« Le but de la pratique de gestion de la sécurité de l'information est de protéger les informations dont l'organisation a besoin pour mener ses activités. Cela inclut la compréhension et la gestion des risques liés à la confidentialité, à l'intégrité et à la disponibilité des informations, ainsi que les autres aspects de la sécurité de l'information tels que l'authentification (s'assurer de l'identité d'une personne) et la non-répudiation (s'assurer que personne ne peut nier avoir effectué une action). » Réf. 5.1.3;
15;"Identifier le mot manquant dans la phrase suivante : Le but de la pratique de ""gestion de la sécurité de l'information"" est de [?] les informations de l'organisation";C;vérifier;« Le but de la pratique de gestion de la sécurité de l'information est de protéger les informations dont l'organisation a besoin pour mener ses activités. Cela inclut la compréhension et la gestion des risques liés à la confidentialité, à l'intégrité et à la disponibilité des informations, ainsi que les autres aspects de la sécurité de l'information tels que l'authentification (s'assurer de l'identité d'une personne) et la non-répudiation (s'assurer que personne ne peut nier avoir effectué une action). » Réf. 5.1.3;
15;"Identifier le mot manquant dans la phrase suivante : Le but de la pratique de ""gestion de la sécurité de l'information"" est de [?] les informations de l'organisation";D;protéger;« Le but de la pratique de gestion de la sécurité de l'information est de protéger les informations dont l'organisation a besoin pour mener ses activités. Cela inclut la compréhension et la gestion des risques liés à la confidentialité, à l'intégrité et à la disponibilité des informations, ainsi que les autres aspects de la sécurité de l'information tels que l'authentification (s'assurer de l'identité d'une personne) et la non-répudiation (s'assurer que personne ne peut nier avoir effectué une action). » Réf. 5.1.3;
16;Quel principe directeur recommande de collecter les données avant de déterminer ce qui peut être réutilisé ?;A;Privilégier la valeur;;"Le principe directeur ""privilégier la valeur"" stipule que « Toutes les activités menées par l'organisation doivent revenir, directement ou indirectement, à de la valeur pour elle-même, ses clients et les autres parties prenantes. » Réf. 4.3.1"
16;Quel principe directeur recommande de collecter les données avant de déterminer ce qui peut être réutilisé ?;B;Commencer là où vous êtes;;"Le principe directeur ""commencer là où vous êtes"" recommande que « Les services et méthodes déjà en place doivent être mesurés et/ou observés directement afin de bien comprendre leur état actuel et ce qui peut en être réutilisé… Obtenir des données à la source permet d'éviter les hypothèses qui, lorsqu'elles s'avèrent infondées, peuvent avoir un effet désastreux sur les délais, les budgets et la qualité des résultats. » Réf. 4.3.2"
16;Quel principe directeur recommande de collecter les données avant de déterminer ce qui peut être réutilisé ?;C;Opter pour la simplicité et rester pratique;;"Le principe directeur ""opter pour la simplicité et rester pratique"" stipule qu'une organisation doit « Utilisez toujours le nombre minimum d'étapes pour atteindre un objectif. » Réf. 4.3.6"
16;Quel principe directeur recommande de collecter les données avant de déterminer ce qui peut être réutilisé ?;D;Progresser par itérations avec des retours;;"Le principe directeur ""avancer par itérations avec des retours"" stipule que « En organisant le travail en parties plus petites et gérables qui peuvent être exécutées et terminées dans un délai convenable, l'accent mis sur chaque petite amélioration est plus précis et plus facile à maintenir. » Réf. 4.3.3"
17;Laquelle des options suivantes N'est habituellement PAS incluse dans la gestion des incidents ?;A;Des scripts pour recueillir des informations initiales sur les incidents;;« Il existe peut-être des scripts permettant de recueillir des informations sur les utilisateurs lors du premier contact. » Réf. 5.2.5
17;Laquelle des options suivantes N'est habituellement PAS incluse dans la gestion des incidents ?;B;Des procédures formalisées pour enregistrer les incidents;;« Il devrait y avoir un processus formel pour enregistrer et gérer les incidents. » Réf. 5.2.5
17;Laquelle des options suivantes N'est habituellement PAS incluse dans la gestion des incidents ?;C;Des procédures détaillées pour diagnostiquer les incidents;;« Ce processus n'inclut généralement PAS de procédures détaillées indiquant comment diagnostiquer, investiguer et résoudre les incidents. » Réf. 5.2.5
17;Laquelle des options suivantes N'est habituellement PAS incluse dans la gestion des incidents ?;D;Le recours à des connaissances spécialisées pour les incidents compliqués;;« Les investigations sur des incidents plus complexes nécessitent souvent des connaissances et une expertise plutôt que des étapes de procédures. » Réf. 5.2.5
18;Laquelle des options suivantes décrit le mieux la nature des principes directeurs ?;A;Les principes directeurs peuvent guider une organisation en toutes circonstances;;Un principe directeur est défini comme une recommandation pouvant guider une organisation en toutes circonstances, quels que soient les changements apportés à ses buts, à ses stratégies, à son type de tâche ou à sa structure de gestion. Les principes directeurs ne sont pas décrits comme étant normatifs ou obligatoires. Réf. 4.3
18;Laquelle des options suivantes décrit le mieux la nature des principes directeurs ?;B;Chaque principe directeur impose des actions et des décisions spécifiques;;Les principes directeurs seront examinés et adoptés par les organisations. Les principes directeurs guident les organisations dans leurs prises de décisions et pour adopter des mesures. Ils n'imposent pas de mesures ou de décisions spécifiques. Réf. 4.3.8
18;Laquelle des options suivantes décrit le mieux la nature des principes directeurs ?;C;Une organisation choisit et adopte un seul des sept principes directeurs;;Les organisations utilisent les principes qui leur sont pertinents et il ne leur est pas imposé d'en utiliser un nombre précis. Réf. 4.3
18;Laquelle des options suivantes décrit le mieux la nature des principes directeurs ?;D;Les principes directeurs décrivent les processus que toutes les organisations doivent adopter;;Les principes directeurs guident les organisations dans leurs prises de décisions et pour adopter des mesures. Ils ne sont pas obligatoires. Réf. 4.3
19;Quel énoncé sur l'autorité de changement est CORRECT ?;A;Une seule autorité de changement doit être assignée pour autoriser tous les types et les modèles de changements;;« Il est essentiel d'assigner l'autorité de changement appropriée à chaque type de changement afin d'assurer l'efficacité et l'efficience de l'habilitation des changements. » Pour les changements normaux, « les modèles de changement fondés sur le type de changement déterminent les rôles chargés de l'évaluation et de l'autorisation ». Une autorité de changement unique n'est pas appropriée. Réf. 5.2.4
19;Quel énoncé sur l'autorité de changement est CORRECT ?;B;Une autorité de changement doit être assignée pour chaque type et chaque modèle de changement;;« Il est essentiel d'assigner l'autorité de changement appropriée à chaque type de changement afin d'assurer l'efficacité et l'efficience de l'habilitation des changements. » Pour les changements normaux, « les modèles de changement fondés sur le type de changement déterminent les rôles chargés de l'évaluation et de l'autorisation ». Réf. 5.2.4
19;Quel énoncé sur l'autorité de changement est CORRECT ?;C;Les changements normaux sont pré-autorisés et ne requièrent pas l'intervention d'une autorité de changement;;Les changements normaux correspondent à des « changements devant être planifiés, évalués et autorisés en suivant un processus ». Tous les changements normaux sont donc autorisés par une autorité de changement. Les changements standard peuvent être pré-autorisés : « Il s'agit de changements pré-autorisés, à faible risque, qui sont bien compris et intégralement documentés, et qui peuvent être implémentés sans nécessiter d'autorisation supplémentaire ». Réf. 5.2.4
19;Quel énoncé sur l'autorité de changement est CORRECT ?;D;Les changements urgents peuvent être implémentés sans l'autorisation d'une autorité de changement;;« Les changements urgents ne sont généralement pas inclus dans un calendrier des changements et les processus d'évaluation et d'autorisation sont accélérés pour s'assurer qu'ils soient implémentés rapidement. » Tous les changements urgents sont donc autorisés par une autorité de changement. Réf. 5.2.4
20;Quelle pratique a pour but de mettre à disposition des services et des fonctionnalités nouveaux ou modifiés ?;A;Le contrôle des changements;;« Le but de la pratique d'habilitation des changements est de maximiser le nombre de changements apportés avec succès aux services et aux produits, en s'assurant que les risques ont été correctement évalués, en autorisant les changements et en gérant le calendrier des changements. » Réf. 5.2.4
20;Quelle pratique a pour but de mettre à disposition des services et des fonctionnalités nouveaux ou modifiés ?;B;La gestion des demandes de services;;« Le but de la pratique de gestion des demandes de service est de soutenir la qualité convenue d'un service en gérant l'ensemble des demandes de service prédéfinies et initiées par l'utilisateur et ce, de manière conviviale et efficace. » Réf. 5.2.16
20;Quelle pratique a pour but de mettre à disposition des services et des fonctionnalités nouveaux ou modifiés ?;C;La gestion des mises en production;;« Le but de la pratique de gestion des mises en production est de mettre à disposition des services et des fonctionnalités nouveaux ou modifiés. » Réf. 5.2.9
20;Quelle pratique a pour but de mettre à disposition des services et des fonctionnalités nouveaux ou modifiés ?;D;La gestion des déploiements;;« Le but de la pratique de gestion des déploiements est de déplacer du matériel, des logiciels, de la documentation, des processus ou tout autre composant nouveaux ou modifiés vers des environnements de production. » Réf. 5.3.1
21;Quelle activité de la chaîne de valeur permet de s'assurer que les personnes comprennent la vision de l'organisation ?;A;Améliorer;;"Le but de l'activité de la chaîne de valeur ""améliorer"" est de « s'assurer de l'amélioration continue des produits, des services et des pratiques dans toutes les activités de la chaîne de valeur et dans les quatre dimensions de la gestion des services. » Réf. 4.5.2"
